whrswk,hhi,whi,hhi2,education,experience,kidslt6,kids618,husby,race_black,race_other,race_white,race_nan,reg_northcentral,reg_other,reg_south,reg_west,hisp_no,hisp_yes
0.765866095571318,-1,1,1,0.3553957199349378,-0.5093422697622209,-0.5487258361051446,0.3132349501732271,-0.2232300371281799,0,0,1,0,0,0,1,0,1,0
0.765866095571318,-1,1,1,0.3553957199349378,-1.6337563281287593,1.0736567279376614,-0.7457862938384351,-0.5182492483482118,0,0,1,0,0,0,1,0,1,0
-1.372319745743416,1,-1,1,1.1118787338449796,-0.1633687133417475,-0.5487258361051446,0.3132349501732271,3.0640847422934296,0,0,1,0,0,1,0,0,1,0
0.765866095571318,-1,-1,1,0.3553957199349378,-0.07687532423662916,9.006032386753605e-17,-1.1757497686689236e-16,1.3783028237805648,0,0,1,0,1,0,0,0,1,0
0.4985928654069763,-1,1,-1,-0.40108729397510395,-0.6823290479724575,-0.5487258361051446,1.3722561941848894,-1.1504332723911372,0,0,1,0,0,0,1,0,1,0
-0.303226825086049,-1,-1,-1,-1.1575703078851456,0.22585153763128502,-0.5487258361051446,-0.7457862938384351,-1.1504332723911372,0,0,1,0,0,1,0,0,1,0
-1.372319745743416,1,-1,1,0.3553957199349378,1.9124726251810926,-0.5487258361051446,-0.7457862938384351,1.75761323820632,0,0,1,0,0,0,1,0,1,0
0.765866095571318,1,1,1,0.3553957199349378,0.009618064868489175,-0.5487258361051446,0.3132349501732271,0.0899960739842882,1,0,0,0,0,1,0,0,1,0
-1.1050465155790743,1,-1,1,0.3553957199349378,-0.24986210244686582,1.0736567279376614,0.3132349501732271,1.0832836125605327,0,0,0,1,0,0,1,0,1,0
0.765866095571318,-1,1,1,-0.40108729397510395,-1.2012893826031674,1.0736567279376614,0.3132349501732271,-0.3918124435396267,0,0,1,0,0,0,0,1,1,0
0.765866095571318,-1,-1,-1,-0.40108729397510395,0.8745519559196725,-0.5487258361051446,-0.7457862938384351,-1.1504332723911372,0,0,1,0,0,1,0,0,1,0
0.765866095571318,-1,-1,-1,-1.1575703078851456,-1.5040162444710816,1.0736567279376614,-0.7457862938384351,-0.3075212403339033,0,0,1,0,1,0,0,0,1,0
0.4985928654069763,-1,1,-1,-0.40108729397510395,0.26909823218384415,-0.5487258361051446,0.3132349501732271,-1.1504332723911372,0,0,0,1,0,0,1,0,0,1
1.0331393257356598,-1,1,1,1.1118787338449796,-1.3742761608134042,-0.5487258361051446,-0.7457862938384351,0.5353907917233307,0,0,1,0,0,0,1,0,1,0
-1.372319745743416,1,-1,1,-0.40108729397510395,1.3070189014452642,-0.5487258361051446,-0.7457862938384351,-1.1504332723911372,0,0,1,0,0,1,0,0,1,0
-0.303226825086049,1,-1,1,-0.40108729397510395,-1.2012893826031674,1.0736567279376614,0.3132349501732271,0.2403715805032988,0,0,1,0,0,0,1,0,1,0
-1.372319745743416,1,-1,1,-0.40108729397510395,-1.7202497172338775,9.006032386753605e-17,-1.1757497686689236e-16,-0.9663412845898375,1,0,0,0,0,0,0,1,1,0
0.765866095571318,-1,1,1,-0.40108729397510395,0.6150717886043175,-0.5487258361051446,-0.7457862938384351,1.3783028237805648,0,0,1,0,0,1,0,0,0,1
-1.372319745743416,1,-1,1,0.3553957199349378,0.9610453450247909,-0.5487258361051446,-0.7457862938384351,3.0640847422934296,0,0,1,0,0,1,0,0,1,0
